ID,Username,Rating,Review Time,Review Content,Owner Response
145,Nicolas Librado (NicoKido),5,2017-06-29,It is my favourite place to study,
146,Palmyre Serey,5,2015-06-30,Go Stingers!! Love this uni and proud to be apart of it,
147,Rabbi Yisroel Bernath,5,2017-06-29,Great Education!,
148,alix khoram,5,2023-03-30,👍👍👍 …,
149,Jamie C,2,2018-06-29,"Enh, at least it's not UQAM",
150,Mahdi H. Nia,5,2018-06-29,The best academic department in Canada.,
151,Samy Zarour,4,2016-06-29,Great school for summer courses,
152,DJOHON Rufus,3,2021-06-28,It's Htpk,
153,Fangfang Chen,3,2022-10-01,Nice,
154,ad anand,5,2020-06-28,It's good,
155,Sean Nolan,4,2016-06-29,"9/10, would study here again.",
156,Nordinne BABOUCH,5,2016-06-29,I have very good experience there,
157,Wang I-Chuan,4,2021-06-28,It is a clean and busy place.,
158,Javad Manashti,5,2017-06-29,Lovely and comfortable,
159,Ming Li,5,2017-06-29,An well-academic university for international student,
160,Israa Hilles,5,2021-06-28,Great stuff and system,
161,Dominic Leduc,5,2018-06-29,Best school ever!,
162,Joe Aj,4,2022-06-28,good,
163,Rodrigo K. Sato S.,5,2014-06-30,such a nice place to study,
164,Rentan TGLG,4,2017-06-29,Good uni,
165,Jena James,5,2022-06-28,Amazing service,
166,Claude Bayeh,1,2022-06-28,Awful sevice,
167,Mabrouk Abodrbala,4,2016-06-29,24/24 hours library,
168,James Bouchard,5,2021-06-28,Big place to learn,
169,Amin,5,2018-06-29,"Great place , nice people",
170,Matthew Alquisada-Mansoori,4,2018-06-29,I litterally live here,
171,p p,1,2019-06-29,Horrible terrible school,
172,Roxanne Legrand,5,2013-06-30,we ask,
173,Saurav Sharma,5,2022-06-28,I love this university ❤️❤️❤️❤️❤️❤️,
174,Federico Gavaudan,2,2020-06-28,it is meh,
175,Benny Lin,1,2018-06-29,I took a poop here,
176,Lijo Kunnumpurath john,5,2021-06-28,Good,
177,Hafiz Cheema,5,2016-06-29,Beautiful campus,
178,vinod kumar,5,2021-06-28,Beautiful,
179,Tuanaipek,5,2022-06-28,Wonderfull⭐🌟⭐ …,
180,Q. Abdul,5,2014-06-30,Proud to be a Concordian!!,
181,Emile T,4,2016-06-29,Amazing university,
182,Laura Hudson,5,2018-06-29,top,
183,Tristan Cortese,5,2021-06-28,Good school,
184,Manjot Singh,5,2019-06-29,nice college,
185,Daniel Law,5,2016-06-29,Great,
186,Andrew J.,5,2015-06-30,I work there!,
187,Armin Nikzad,5,2018-06-29,Best University...,
188,Lujain Alasoom,4,2017-06-29,Nice to be part of it,
189,Afif Bin Kamrul,5,2022-06-28,my university,
190,Nicolas Pouliot,4,2016-06-29,loving it there.,
191,Lei Lei,4,2017-06-29,Nice Building,
192,André Cator,5,2019-06-29,Good University !,
193,Basel Abdo,5,2014-06-30,Amazing place,
194,ooo SR,5,2020-06-28,Great University,
195,Joao Proença,5,2022-11-30,"Former student of Commerce Faculty of Sir George Williams University, today part of Concordia University in a rank of Excellent American Universities. Leaving My Gratitude to All Professors that I had on my Course of Business Administration.
Alumnus of Sir George Williams University's Faculty of Commerce now Concordia University a Teaching Excellence
Leave my tribute of thanks to all the professors I had in my Business Administration course",
196,HYPH4ZE,4,2019-06-29,Superbe travail d'architecture. La façade est magnifique. Le visage du centre-ville de Montréal change peu à peu et se modernise pour le mieux.,
197,Diane Houle,4,2023-02-28,Je suis pas aller a l université j'ai 64 ans je suis aller à l Oratoire st Joseph,
198,Cedric Deukam,5,2018-06-29,Excellente université situé en plein centre ville de Montréal. Plusieurs formations dans divers domaines de l'ingénierie y sont données. Elle est située à proximité de la station de métro guy concordia et est accessible via plusieurs transports en commun.,
199,Simon Daigneault,5,2023-02-28,Endroit très plaisant pour étudier.,
200,HONG BIN OH,4,2018-06-29,"I went to graduate school here. It is downtown, so transportation is good and school facilities are good. Even though Korean is my mother tongue, when I look at my writing again, it seems like I have turned on a translator.",
201,Antoinette ACCLASSATO,5,2022-10-01,J'y suis jamais allée mais je suis sûr que mon cycle sera super,
202,Pix El,5,2018-06-29,"Très facile d'accès par le métro Station Guy Concordia, architecture bien intégré,",
203,ruth grande,4,2022-06-28,"Very good university, although I don't study there. I find it very complete. I work in the kitchen and it has very good menus",
204,wong william,4,2022-06-28,Beautiful campus!,
205,Kevin Nguyen,5,2023-06-14,Shout out to Bowen and David,
206,Angie,4,2020-06-28,It's easy to get to. Very well located and is one of the most prestigious universities in Montreal,
207,TEVFIK AKTAS,5,2022-10-01,❤👍 …,
208,Sofi Charland,5,2022-06-28,Belle architecture avec ses différents pavillons,
209,Abdullah Koc,5,2022-12-30,Subway was good,
210,Zhou Toby,4,2018-06-29,One of the Kangda Buildings,
211,Patrick Desrochers,5,2017-06-29,De beaux points de vue!,
212,redouanne guetglvilj,5,2020-06-28,Yts bien,
213,papa taha,5,2019-06-29,Vrai art,
214,Musashi Myamoto (Corbeau22),4,2019-06-29,On monde de diversité ouvert a tous.,
215,Hank Hull,1,2021-06-28,Ça pue et c'est anglais,
216,Jamie Marcil,1,2021-06-28,Non à l'extrême gauche,
217,Joel Basile,5,2022-09-01,Belle place,
218,Vg G,4,2018-06-29,No review text provided.,
219,Jules Diaby,5,2017-06-29,L'universite me plaie,
220,PSY tiger,5,2020-06-28,Connais pas,
221,Ipehe Rodrigue,5,2019-06-29,Joli université,
222,Belgacem BEN HEDIA,5,2019-06-29,Magnifique,
223,Duplantie Yannick,1,2021-06-28,No review text provided.,
224,Akram Ebeid,5,2018-06-29,No review text provided.,
225,Ryan purp,5,2018-06-29,No review text provided.,
226,Inkosazana Brenda,4,2022-06-28,No review text provided.,
227,Amir Shokri,5,2019-06-29,No review text provided.,
228,顾-婉荪,4,2018-06-29,No review text provided.,
229,Kasen Tei,4,2021-06-28,No review text provided.,
230,haresh savani,5,2023-03-30,No review text provided.,
231,Parmiss Shahinfard,4,2022-10-31,No review text provided.,
232,Arjav Patel,5,2020-06-28,No review text provided.,
233,Paul-Harry Jayme,4,2022-11-30,No review text provided.,
234,Mila5 Team,1,2020-06-28,No review text provided.,
235,Nirav Patel,5,2019-06-29,No review text provided.,
236,PRAVEEN SINGH,5,2022-06-28,No review text provided.,
237,Louis Pavlakos,5,2018-06-29,No review text provided.,
238,Nei Xenosaga,3,2018-06-29,No review text provided.,
239,zipporah Creese,4,2022-10-31,No review text provided.,
240,amir darzi,5,2022-10-31,No review text provided.,
241,Amir Takbash,5,2018-06-29,No review text provided.,
242,Farid Omarzadeh,1,2022-06-28,No review text provided.,
243,Ngetich Collins,1,2019-06-29,No review text provided.,
244,Nitesh Mehra,5,2022-06-28,No review text provided.,
245,Lupa Duende,4,2020-06-28,No review text provided.,
246,Alex,1,2022-06-28,No review text provided.,
247,Harpreet Singh,5,2022-10-31,No review text provided.,
248,Francis Marinilli,1,2019-06-29,No review text provided.,
249,Mandip Singh,5,2020-06-28,No review text provided.,
250,Maher Kreitem,5,2019-06-29,No review text provided.,
251,Omar Dandan,5,2017-06-29,No review text provided.,
252,Mohammed Contractor,5,2022-06-28,No review text provided.,
253,Sekhmet Design (SekhmetDesign),5,2012-06-30,No review text provided.,
254,Amir Hossein Zamani,5,2022-06-28,No review text provided.,
255,Francine Manucci,5,2022-06-28,No review text provided.,
256,Kamal Maanicshah,5,2021-06-28,No review text provided.,
257,Spjul T,4,2022-10-31,No review text provided.,
258,Sophie Lemieux,5,2018-06-29,No review text provided.,
259,Elise Epaillard,5,2018-06-29,No review text provided.,
260,chris quinnell,3,2016-06-29,No review text provided.,
261,Basil saji,1,2019-06-29,No review text provided.,
262,Jem Cortez,5,2020-06-28,No review text provided.,
263,Ehsan Moazami,5,2020-06-28,No review text provided.,
264,Farhan Rahman Chowdhury,4,2022-06-28,No review text provided.,
265,Léa Raymond-Marshall,5,2022-10-01,No review text provided.,
266,clement bailly,2,2021-06-28,No review text provided.,
267,Erman Akman,5,2022-06-28,No review text provided.,
268,mohammed altweel,4,2022-06-28,No review text provided.,
269,Corina K,5,2018-06-29,No review text provided.,
270,Sergio Camacho,5,2018-06-29,No review text provided.,
271,Arshpreet Kaur,5,2022-06-28,No review text provided.,
272,Alexandra Pinto,5,2018-06-29,No review text provided.,
273,Kirti Joy,5,2014-06-30,No review text provided.,
274,Nigah Mahajan,5,2022-06-28,No review text provided.,
275,zakaria elhouba,5,2022-06-28,No review text provided.,
276,fazle rabbi,5,2022-10-01,No review text provided.,
277,shakib tamim,5,2020-06-28,No review text provided.,
278,Dwaipayan Barman,5,2021-06-28,No review text provided.,
279,Feiran Zhang,5,2019-06-29,No review text provided.,
280,Meir Donath,4,2016-06-29,No review text provided.,
281,Artur Gubaidullin,5,2022-06-28,No review text provided.,
282,Heritier Luc Minani,4,2023-01-29,No review text provided.,
283,Shashi Sethia,5,2020-06-28,No review text provided.,
284,Vijaypal Singh,5,2019-06-29,No review text provided.,
285,Yeddr wrragh,5,2014-06-30,No review text provided.,
286,Jordan Joseph,5,2022-06-28,No review text provided.,
287,Mahmoud Zeid,5,2022-06-28,No review text provided.,
288,Thant zin,5,2020-06-28,No review text provided.,
289,Mircea Chirca,5,2016-06-29,No review text provided.,
290,Joe Iverson,5,2022-06-28,No review text provided.,
291,Patrick Linton,5,2015-06-30,No review text provided.,
292,Raphael Gauthier,5,2015-06-30,No review text provided.,
293,Kaustubh Gosavi,5,2014-06-30,No review text provided.,
294,Norah F,5,2022-11-30,No review text provided.,
295,Monir Ozzaman,4,2014-06-30,No review text provided.,
296,Yash Doshi,5,2022-06-28,No review text provided.,
297,Emmie Kr,1,2022-06-28,No review text provided.,
298,Arshpreet Kaur,3,2022-06-28,No review text provided.,
299,Ricardo Andrés Salas Dorado,5,2022-10-31,No review text provided.,
300,hussien shahata,4,2022-06-28,No review text provided.,
301,Yashraj Khambhati,5,2022-06-28,No review text provided.,
302,Faizan Chopda,5,2022-06-28,No review text provided.,
303,Sara Baptiste-Brown,4,2017-06-29,No review text provided.,
304,Hazen Abou Khadra,5,2021-06-28,No review text provided.,
305,Julianna Argento,4,2021-06-28,No review text provided.,
306,Yamileth Espinosa,5,2019-06-29,No review text provided.,
307,Rahul Appu,5,2018-06-29,No review text provided.,
308,Raeq Huq,5,2021-06-28,No review text provided.,
309,Pardeep Sharma,5,2018-06-29,No review text provided.,
310,Youcef Kara (youman189),4,2022-08-02,No review text provided.,
311,Ahmad Bisharah,5,2022-06-28,No review text provided.,
312,Fadia Farid,3,2019-06-29,No review text provided.,
313,Sarmad Iraq سرمد ابن عراق,5,2020-06-28,No review text provided.,
314,Ashly SV,5,2021-06-28,No review text provided.,
315,Mitin Patel,5,2014-06-30,No review text provided.,
316,Rajveer Singh,5,2016-06-29,No review text provided.,
317,Aneesh Ahmed M,5,2022-06-28,No review text provided.,
318,Let me know Please,1,2020-06-28,No review text provided.,
319,Silver 2350,4,2022-10-01,No review text provided.,
320,Jatin Lala,5,2022-06-28,No review text provided.,
321,Christos Lycos,5,2014-06-30,No review text provided.,
322,Sylvie Szabo,5,2022-06-28,No review text provided.,
323,sulaimon ridwan,5,2022-10-31,No review text provided.,
324,Rojalin Achary,3,2022-06-28,No review text provided.,
325,Arjun G.Krishnan,5,2022-06-28,No review text provided.,
326,Maksudul Alam,5,2022-06-28,No review text provided.,
327,Masoud,5,2022-12-30,No review text provided.,
328,Luis J Carrillo-Carasas,5,2015-06-30,No review text provided.,
329,Natalia dls,5,2015-06-30,No review text provided.,
330,Paras Patel,5,2019-06-29,No review text provided.,
331,Victor Ruggi,5,2022-06-28,No review text provided.,
332,Sneh Mulani,5,2021-06-28,No review text provided.,
333,Arvind,4,2021-06-28,No review text provided.,
334,BHAVIN CHAUDHARY,5,2022-09-01,No review text provided.,
335,Charles Cloutier,1,2021-06-28,No review text provided.,
336,Rahul Patil,5,2022-06-28,No review text provided.,
337,Thenmozhie Rajan,5,2022-09-01,No review text provided.,
338,Zakaria afoutni,5,2022-06-28,No review text provided.,
339,marco madara,5,2022-06-28,No review text provided.,
340,Razu Ahamed,5,2019-06-29,No review text provided.,
341,Touseef Hamdani,5,2022-06-28,No review text provided.,
342,Mr Hacker,5,2020-06-28,No review text provided.,
343,Xiao Jie Shen,3,2022-06-28,No review text provided.,
344,Ashesh,4,2016-06-29,No review text provided.,
345,Julieth Mercado,5,2022-06-28,No review text provided.,
346,Aydin Azari Farhad,3,2022-06-28,No review text provided.,
347,Jennifer Mai-Ly Boisvert,5,2020-06-28,No review text provided.,
348,Hilton Mutavati,4,2022-06-28,No review text provided.,
349,Amir Ehsani,5,2021-06-28,No review text provided.,
350,Zhao Qin,5,2014-06-30,No review text provided.,
351,Marianne Brouillette,5,2020-06-28,No review text provided.,
352,will derryl,4,2021-06-28,No review text provided.,
353,Rakib Amin,5,2022-11-30,No review text provided.,
354,Majid Rezazadeh,1,2021-06-28,No review text provided.,
355,Simon Sun,5,2023-02-28,No review text provided.,
356,Suryaveer Chauhan,4,2018-06-29,No review text provided.,
357,Vincent,4,2021-06-28,No review text provided.,
358,mazdad anklesaria,4,2019-06-29,No review text provided.,
359,Mohd Laraib Maroof,5,2022-06-28,No review text provided.,
360,sara gharavi,5,2022-06-28,No review text provided.,
361,Safwat Ghabbour,5,2021-06-28,No review text provided.,
362,Kuan Lee,4,2022-06-28,No review text provided.,
363,Hari Vinayak,5,2022-06-28,No review text provided.,
364,Reza Fasihani,5,2018-06-29,No review text provided.,
365,Bowen Xu,5,2022-06-28,No review text provided.,
366,Masoud Zaerpour,4,2019-06-29,No review text provided.,
367,Sm Tomal,5,2022-10-31,No review text provided.,
368,Esteban Xiques Cerpa,5,2016-06-29,No review text provided.,
369,Salah Harb,5,2022-06-28,No review text provided.,
370,Warren Rothman,1,2023-02-28,No review text provided.,
371,Mohammad Salim,3,2023-01-29,No review text provided.,
372,B Nakrani,5,2016-06-29,No review text provided.,
373,Manpreet Brar,4,2022-06-28,No review text provided.,
374,Maziad lbrahim,5,2022-10-31,No review text provided.,
375,sepideh bayaty,5,2022-06-28,No review text provided.,
376,Diana Zaza,5,2020-06-28,No review text provided.,
377,yugandhar patil,5,2022-10-01,No review text provided.,
378,Kavya Patel,4,2022-10-01,No review text provided.,
379,karan bhagat,5,2014-06-30,No review text provided.,
380,Pierre D,1,2016-06-29,No review text provided.,
381,Alex Roy,5,2017-06-29,No review text provided.,
382,Delwyn Jones,4,2023-01-29,No review text provided.,
383,Harleen Behl,5,2019-06-29,No review text provided.,
384,Geunyeong Lee,5,2020-06-28,No review text provided.,
385,Michael S,1,2019-06-29,No review text provided.,
386,Duminda Ekanayake,1,2022-11-30,No review text provided.,
387,Patrick Mac Donald,5,2022-06-28,No review text provided.,
388,Zaché Volcy,5,2022-12-30,No review text provided.,
389,Bohan Zhang,5,2018-06-29,No review text provided.,
390,Victor Romano França,1,2023-01-29,No review text provided.,
391,P M,4,2016-06-29,No review text provided.,
392,Abhi nath,4,2022-06-28,No review text provided.,
393,Aman Deep,3,2020-06-28,No review text provided.,
394,Shashank B Shivakumar,5,2022-06-28,No review text provided.,
395,Aymeric Grail,4,2016-06-29,No review text provided.,
396,Ho Phuc,5,2022-12-30,No review text provided.,
397,Rae-Anne George,4,2022-06-28,No review text provided.,
398,Muluh Clive,5,2019-06-29,No review text provided.,
399,Kordis john,4,2013-06-30,No review text provided.,
400,Bruno Buisson,4,2019-06-29,No review text provided.,
401,Justin Petrilli,5,2019-06-29,No review text provided.,
402,Liangxuan Xu,3,2018-06-29,No review text provided.,
403,Urooj Naveed,5,2022-11-30,No review text provided.,
404,Amrit Malhi,4,2014-06-30,No review text provided.,
405,Syfax,5,2022-06-28,No review text provided.,
406,Shubham Sharma,5,2022-10-31,No review text provided.,
407,Marc-Antoine Savann,4,2018-06-29,No review text provided.,
408,Nazeer Rahim Bhati,5,2022-06-28,No review text provided.,
409,Sonu Bhullar,5,2019-06-29,No review text provided.,
410,sam aittaleb,4,2022-10-31,No review text provided.,
411,Nav Bedi,5,2022-06-28,No review text provided.,
412,Omar Mohamed,1,2023-05-29,No review text provided.,
413,hnenna nastia,5,2022-10-01,No review text provided.,
414,Marilou Berlow,4,2020-06-28,No review text provided.,
415,Kush Kansagra,4,2019-06-29,No review text provided.,
416,Sophie Z,5,2022-09-01,No review text provided.,
417,Zi Jin Su,5,2019-06-29,No review text provided.,
418,Georges Fakhoury,5,2022-06-28,No review text provided.,
419,Shubham Bhasin,4,2022-09-01,No review text provided.,
420,Robert Thibault,5,2018-06-29,No review text provided.,
421,Amrita Saluja,5,2022-06-28,No review text provided.,
422,Bobby Y,4,2014-06-30,No review text provided.,
423,Har 8,5,2019-06-29,No review text provided.,
424,Choukri Haibe,5,2022-06-28,No review text provided.,
425,Mackenson FELIX- Sèvitè a,5,2022-10-31,No review text provided.,
426,Gaurav Jaiswal,5,2023-05-29,No review text provided.,
427,Sanchit Smarak,5,2022-12-30,No review text provided.,
428,Sandra Velasque Guerrero,5,2022-06-28,No review text provided.,
429,Ghali Jabri,1,2020-06-28,No review text provided.,
430,Samantha Patrick,5,2015-06-30,No review text provided.,
431,KARANDEEP SINGH SANDHU,5,2013-06-30,No review text provided.,
432,Muhammad Zohaib,4,2018-06-29,No review text provided.,
433,MARCELO ZORZI,5,2023-02-28,No review text provided.,
434,Pranoti Mulay,5,2022-06-28,No review text provided.,
435,Stéphan Pommainville,4,2022-08-02,No review text provided.,
436,Olivier Laporte,4,2022-06-28,No review text provided.,
437,Sara Maroufian,5,2016-06-29,No review text provided.,
438,Rudy Obeid,5,2020-06-28,No review text provided.,
439,Monu,4,2018-06-29,No review text provided.,
440,Yao,5,2022-06-28,No review text provided.,
441,Andrew Jeyaraj,5,2021-06-28,No review text provided.,
442,arunprasad karunanithi,5,2022-06-28,No review text provided.,
443,De Chubasco,5,2022-06-28,No review text provided.,
444,Erica Antoine,5,2022-09-01,No review text provided.,
445,Qingfeng Lu,5,2020-06-28,No review text provided.,
446,Jayesh Makwana,5,2018-06-29,No review text provided.,
447,Ridwan Mahbub,5,2021-06-28,No review text provided.,
448,Aravind Saravanan,5,2022-10-01,No review text provided.,
449,Kummo Gannon,4,2021-06-28,No review text provided.,
450,Karam Merjanian,5,2021-06-28,No review text provided.,
451,jay shah,5,2022-08-02,No review text provided.,
452,Hasandeep Singh,4,2022-06-28,No review text provided.,
453,Russell Vaz,5,2020-06-28,No review text provided.,
454,Shahrzad,4,2020-06-28,No review text provided.,
455,Riniyad Mahady,5,2022-10-01,No review text provided.,
456,Wesam M Daradkeh,5,2022-10-31,No review text provided.,
457,Harsh Parmar,5,2022-09-01,No review text provided.,
458,Fadi,4,2018-06-29,No review text provided.,
459,Sondle Findlo,5,2021-06-28,No review text provided.,
460,Elie BABIN,5,2014-06-30,No review text provided.,
461,Heather Kousik,4,2018-06-29,No review text provided.,
462,Arghavan t,5,2020-06-28,No review text provided.,
463,patel chintan,5,2022-06-28,No review text provided.,
464,Navdeep Dhillon,5,2022-06-28,No review text provided.,
465,Umair Peerzada,5,2022-06-28,No review text provided.,
466,Yousuf Abdullah,4,2022-06-28,No review text provided.,
467,Gabriel Ernewein,4,2018-06-29,No review text provided.,
468,Wei Huo,4,2022-06-28,No review text provided.,
469,Quinn Barnes,3,2018-06-29,No review text provided.,
470,Okul John,4,2019-06-29,No review text provided.,
471,Jamilah DS,5,2022-06-28,No review text provided.,
472,Zhonghan Zhou,4,2016-06-29,No review text provided.,
473,Raj maini,5,2019-06-29,No review text provided.,
474,Vipul Chauhan,3,2020-06-28,No review text provided.,
475,Yonghee Kim,5,2023-05-29,No review text provided.,
476,sukesh donepudi,5,2019-06-29,No review text provided.,
477,g. yashwanth,5,2022-06-28,No review text provided.,
478,Harsh Thaker,5,2022-11-30,No review text provided.,
479,Alexandru Chiriac,5,2022-06-28,No review text provided.,
480,Fadi Yaghmour,3,2017-06-29,No review text provided.,
481,Yash Shah,5,2022-06-28,No review text provided.,
482,The King,5,2022-10-01,No review text provided.,
483,Deepika Monica DSouza,5,2022-06-28,No review text provided.,
484,Syed Priom,5,2022-06-28,No review text provided.,
485,pegah shahbazi,4,2023-02-28,No review text provided.,
486,A S,2,2023-02-28,No review text provided.,
487,Laura Haidar,5,2022-06-28,No review text provided.,
488,harshit dubey,4,2016-06-29,No review text provided.,
489,Alaa Al Issa,4,2023-02-28,No review text provided.,
490,Himanshu Mahajan,5,2022-06-28,No review text provided.,
491,Kevin Dejo,5,2016-06-29,No review text provided.,
492,Yash,1,2022-11-30,No review text provided.,
493,SriKrishna Padiyar,5,2022-06-28,No review text provided.,
494,Peter Ntoulis,5,2021-06-28,No review text provided.,
495,Alex “Yezzz” M,5,2022-06-28,No review text provided.,
496,Kowshik Ahmed,5,2021-06-28,No review text provided.,
497,Salim Awad,5,2022-06-28,No review text provided.,
498,Elisabeth Kelefe,4,2021-06-28,No review text provided.,
499,Little Nightmare,1,2019-06-29,No review text provided.,
500,sarfraz anwar,5,2018-06-29,No review text provided.,
501,Reza Mohammadzadeh,5,2021-06-28,No review text provided.,
502,Mobin Allahdini H.,5,2022-11-30,No review text provided.,
503,Dwayne Stevens,5,2022-06-28,No review text provided.,
504,Shivam Khera,5,2022-11-30,No review text provided.,
505,Xiaotang Song,4,2020-06-28,No review text provided.,
506,steven leveillee,5,2023-01-29,No review text provided.,
507,Vishal Maniya,5,2016-06-29,No review text provided.,
508,Devin Pawluk,5,2018-06-29,No review text provided.,
509,B. A.,4,2021-06-28,No review text provided.,
510,TAIMUR KHAN,5,2018-06-29,No review text provided.,
511,Habscollector13,3,2018-06-29,No review text provided.,
512,Shoaeb Arif,5,2022-06-28,No review text provided.,
513,Jagabondhu Das,5,2020-06-28,No review text provided.,
514,Jihane,5,2022-06-28,No review text provided.,
515,Sina Rangriz,3,2022-06-28,No review text provided.,
516,Narcisse Feria,5,2022-11-30,No review text provided.,
517,Jay Bhavsar,5,2022-06-28,No review text provided.,
518,Joana Zghaib,5,2018-06-29,No review text provided.,
519,Yogesh Chheta,5,2022-10-01,No review text provided.,
520,Edward Rossi,4,2016-06-29,No review text provided.,
521,Nuno Correia,5,2022-06-28,No review text provided.,
522,Sunny Jawanda,1,2021-06-28,No review text provided.,
523,Méon MTL,5,2023-01-29,No review text provided.,
524,Anthony Brackin,5,2022-10-31,No review text provided.,
525,Vitali Doudko,5,2019-06-29,No review text provided.,
526,Tony Francis,5,2017-06-29,No review text provided.,
527,A. K.,1,2022-06-28,No review text provided.,
528,Md. Nazmul Hoq Salim,5,2022-06-28,No review text provided.,
529,Mariano Morales,4,2022-11-30,No review text provided.,
530,Darshit Rudani,5,2022-06-28,No review text provided.,
531,Matthieu Perreault,4,2016-06-29,No review text provided.,
532,Musab Masood,5,2012-06-30,No review text provided.,
533,Lovish Aggarwal,5,2022-10-01,No review text provided.,
534,Alale Kamrani,4,2022-06-28,No review text provided.,
535,Concordia Security,1,2020-06-28,No review text provided.,
536,Nad B,5,2020-06-28,No review text provided.,
537,Güliz Toz,5,2022-10-01,No review text provided.,
538,obada erfan,4,2022-06-28,No review text provided.,
539,Eric Prieur,5,2022-06-28,No review text provided.,
540,Ficmar Der Kit,5,2019-06-29,No review text provided.,
541,Herve Ngomseu Fotsing,4,2022-06-28,No review text provided.,
542,Varun Jaganathan,4,2018-06-29,No review text provided.,
543,Aneesh Kochukrishnan,5,2022-06-28,No review text provided.,
544,Lucas Catchlove,5,2022-06-28,No review text provided.,
545,Avery Follett,4,2016-06-29,No review text provided.,
546,Nirali Prajapati,5,2018-06-29,No review text provided.,
547,Prisselda VOLTAIRE,5,2020-06-28,No review text provided.,
548,Raghav Kaushal,1,2020-06-28,No review text provided.,
549,Mohammed Fakruddin Shaik,5,2022-10-01,No review text provided.,
550,john gbola-abiodun,5,2020-06-28,No review text provided.,
551,Varshap Walia,5,2022-10-01,No review text provided.,
552,tom pdl,3,2016-06-29,No review text provided.,
553,Shubhparteek S,4,2014-06-30,No review text provided.,
554,ravinder singh,5,2022-06-28,No review text provided.,
555,John Connor,5,2022-06-28,No review text provided.,
556,Arvind Sangwan,5,2022-06-28,No review text provided.,
557,Sacha Vogt,5,2022-06-28,No review text provided.,
558,Umair Ashraf,5,2016-06-29,No review text provided.,
559,Harshad Mahajan,5,2022-06-28,No review text provided.,
560,Papry Barua,5,2023-02-28,No review text provided.,
561,megha rai,5,2020-06-28,No review text provided.,
562,jay cambridge,4,2019-06-29,No review text provided.,
563,Elizaveta Bykova,5,2021-06-28,No review text provided.,
564,Miha Vũ,1,2020-06-28,No review text provided.,
565,SATHEESH KUMAR,4,2017-06-29,No review text provided.,
566,Issam Banifadel,5,2021-06-28,No review text provided.,
567,Karan Ahuja,5,2021-06-28,No review text provided.,
568,Steven Joseph,5,2022-06-28,No review text provided.,
569,Soraka BeatsJesus,5,2019-06-29,No review text provided.,
570,Olivier Turcotte,5,2017-06-29,No review text provided.,
571,Wadii Bouzemmi,5,2022-06-28,No review text provided.,
572,Cliff Fischer,5,2022-10-01,No review text provided.,
573,kalappa Thotambailu,5,2022-06-28,No review text provided.,
574,Linsey Farlot,5,2021-06-28,No review text provided.,
575,Kris Sam,5,2016-06-29,No review text provided.,
576,Dr. Vikram Singh,5,2022-09-01,No review text provided.,
577,Meem Tabassum,5,2022-06-28,No review text provided.,
578,mark gorski,3,2018-06-29,No review text provided.,
579,Antoine Castellane,5,2017-06-29,No review text provided.,
580,Salah Eddine ELBADRY,5,2022-06-28,No review text provided.,
581,Patrick Deniso,5,2021-06-28,No review text provided.,
582,Revanth Guptha,1,2022-10-01,No review text provided.,
583,revanth kumar jasthi,5,2021-06-28,No review text provided.,
584,Mohit Balu,5,2022-06-28,No review text provided.,
585,Gab K. (HisokaKt),4,2023-04-29,No review text provided.,
586,Ravneesh Singh,1,2022-06-28,No review text provided.,
587,Joel Uranga,4,2022-11-30,No review text provided.,
588,Nicolas Dupuis,4,2018-06-29,No review text provided.,
589,Elvana Ejiogu,5,2021-06-28,No review text provided.,
590,Cedric Martens,5,2020-06-28,No review text provided.,
591,Mohammad Esrafilian,5,2021-06-28,No review text provided.,
592,Diego PL,5,2023-03-30,No review text provided.,
593,John Lee,5,2020-06-28,No review text provided.,
594,Tim Zarins,4,2016-06-29,No review text provided.,
595,Mary Kroitor,4,2022-06-28,No review text provided.,
596,Andrew Ve,4,2022-10-01,No review text provided.,
597,Anton Moses,5,2018-06-29,No review text provided.,
598,XylqrM1,5,2022-11-30,No review text provided.,
599,Georges AKPO,1,2018-06-29,No review text provided.,
600,Elham Jamali,4,2023-06-07,No review text provided.,
601,Hamid,1,2021-06-28,No review text provided.,
602,Alexander Winter,1,2023-04-29,No review text provided.,
603,Weiyang Qian,5,2022-06-28,No review text provided.,
604,Maryna Akymenko,5,2022-10-01,No review text provided.,
605,Reihane Karimian,5,2021-06-28,No review text provided.,
606,jiten kapoor,5,2022-06-28,No review text provided.,
607,Nishant Panwar,3,2022-06-28,No review text provided.,
608,__Devendrasinh__ __Jadeja__,5,2019-06-29,No review text provided.,
609,Farhad Nabizadeh,4,2022-12-30,No review text provided.,
610,Geeti Mehri,5,2022-12-30,No review text provided.,
611,Dhananjay Narayan,5,2021-06-28,No review text provided.,
612,Nikola Krūmiņa,5,2019-06-29,No review text provided.,
613,Omar Elzoghbi,5,2022-06-28,No review text provided.,
614,Harraj Sandhu,5,2019-06-29,No review text provided.,
615,Sesank Srinivas,5,2022-09-01,No review text provided.,
616,Adrien Jamali,5,2018-06-29,No review text provided.,
617,Lahoucine Zgourra,4,2020-06-28,No review text provided.,
618,Abel Joseph,3,2016-06-29,No review text provided.,
619,Diane Parent,5,2022-10-31,No review text provided.,
620,Vijaykumar Dobariya,5,2022-06-28,No review text provided.,
621,Kuddy Jones,5,2020-06-28,No review text provided.,
622,H R,4,2022-06-28,No review text provided.,
